Date,FB Close,AMZN Close,NFLX Close,GOOGL Close
3/18/2020 16:00:00,146.96,1830,315.47,1091.19
3/19/2020 16:00:00,153.13,1880.93,332.03,1111.67
3/20/2020 16:00:00,149.73,1846.09,332.83,1068.21
3/23/2020 16:00:00,148.1,1902.83,360.27,1054.13
3/24/2020 16:00:00,160.98,1940.1,357.32,1130.01
3/25/2020 16:00:00,156.21,1885.84,342.39,1101.62
3/26/2020 16:00:00,163.34,1955.49,362.99,1162.92
3/27/2020 16:00:00,156.79,1900.1,357.12,1110.26
3/30/2020 16:00:00,165.95,1963.95,370.96,1146.31
3/31/2020 16:00:00,166.8,1949.72,375.5,1161.95
4/1/2020 16:00:00,159.6,1907.7,364.08,1102.1
4/2/2020 16:00:00,158.19,1918.83,370.08,1117.03
4/3/2020 16:00:00,154.18,1906.59,361.76,1092.7
4/6/2020 16:00:00,165.55,1997.59,379.96,1183.19
4/7/2020 16:00:00,168.83,2011.6,372.28,1182.56
4/8/2020 16:00:00,174.28,2043,371.12,1207
4/9/2020 16:00:00,175.19,2042.76,370.72,1206.57
4/13/2020 16:00:00,174.79,2168.87,396.72,1210.41
4/14/2020 16:00:00,178.17,2283.32,413.55,1265.23
4/15/2020 16:00:00,176.97,2307.68,426.75,1257.3
4/16/2020 16:00:00,176.25,2408.19,439.17,1257.43
4/17/2020 16:00:00,179.24,2375,422.96,1279
4/20/2020 16:00:00,178.24,2393.61,437.49,1261.15
4/21/2020 16:00:00,170.8,2328.12,433.83,1212.16
4/22/2020 16:00:00,182.28,2363.49,421.42,1258.41
4/23/2020 16:00:00,185.13,2399.45,426.7,1271.17
4/24/2020 16:00:00,190.07,2410.22,424.99,1276.6
4/27/2020 16:00:00,187.5,2376,421.38,1270.86
4/28/2020 16:00:00,182.91,2314.08,403.83,1232.59
4/29/2020 16:00:00,194.19,2372.71,411.89,1342.18
4/30/2020 16:00:00,204.71,2474,419.85,1346.7
5/1/2020 16:00:00,202.27,2286.04,415.27,1317.32
5/4/2020 16:00:00,205.26,2315.99,428.15,1322.9
5/5/2020 16:00:00,207.07,2317.8,424.68,1349.02
5/6/2020 16:00:00,208.47,2351.26,434.26,1345.43
5/7/2020 16:00:00,211.26,2367.61,436.53,1369.28
5/8/2020 16:00:00,212.35,2379.61,435.55,1384.34
5/11/2020 16:00:00,213.18,2409,440.52,1403.59
5/12/2020 16:00:00,210.1,2356.95,431.82,1375.18
5/13/2020 16:00:00,205.1,2367.92,438.27,1348.33
5/14/2020 16:00:00,206.81,2388.85,441.95,1356.86
5/15/2020 16:00:00,210.88,2409.78,454.19,1373.06
5/18/2020 16:00:00,213.19,2426.26,452.58,1385.18
5/19/2020 16:00:00,216.88,2449.33,451.04,1374.4
5/20/2020 16:00:00,229.97,2497.94,447.67,1409.16
5/21/2020 16:00:00,231.39,2446.74,436.25,1406.75
5/22/2020 16:00:00,234.91,2436.88,429.32,1413.24
5/26/2020 16:00:00,232.2,2421.86,414.77,1421.37
5/27/2020 16:00:00,229.14,2410.39,419.89,1420.28
5/28/2020 16:00:00,225.46,2401.1,413.44,1418.24
5/29/2020 16:00:00,225.09,2442.37,419.73,1433.52
6/1/2020 16:00:00,231.91,2471.04,425.92,1434.87
6/2/2020 16:00:00,232.72,2472.41,427.31,1442.31
6/3/2020 16:00:00,230.16,2478.4,421.97,1439.25
6/4/2020 16:00:00,226.29,2460.6,414.33,1414.3
6/5/2020 16:00:00,230.77,2483,419.6,1440.02
6/8/2020 16:00:00,231.4,2524.06,419.49,1448.04
6/9/2020 16:00:00,238.67,2600.86,434.05,1452.08
6/10/2020 16:00:00,236.73,2647.45,434.48,1464.7
6/11/2020 16:00:00,224.43,2557.96,425.56,1401.9
6/12/2020 16:00:00,228.58,2545.02,418.07,1412.92
6/15/2020 16:00:00,232.5,2572.68,425.5,1420.74
6/16/2020 16:00:00,235.65,2615.27,436.13,1446.47
6/17/2020 16:00:00,235.53,2640.98,447.77,1452.54
6/18/2020 16:00:00,235.94,2653.98,449.87,1434.12
6/19/2020 16:00:00,238.79,2675.01,453.72,1424.64
6/22/2020 16:00:00,239.22,2713.82,468.04,1450.66
6/23/2020 16:00:00,242.24,2764.41,466.26,1463.98
6/24/2020 16:00:00,234.02,2734.4,457.85,1432.7
6/25/2020 16:00:00,235.68,2754.58,465.91,1441.1
6/26/2020 16:00:00,216.08,2692.87,443.4,1362.54
6/29/2020 16:00:00,220.64,2680.38,447.24,1397.17
6/30/2020 16:00:00,227.07,2758.82,455.04,1418.05
7/1/2020 16:00:00,237.55,2878.7,485.64,1442
7/2/2020 16:00:00,233.42,2890.3,476.89,1469.93
7/6/2020 16:00:00,240.28,3057.04,493.81,1499.65
7/7/2020 16:00:00,240.86,3000.12,493.16,1489.92
7/8/2020 16:00:00,243.58,3081.11,502.78,1503.6
7/9/2020 16:00:00,244.5,3182.63,507.76,1518.66
7/10/2020 16:00:00,245.07,3200,548.73,1539.01
7/13/2020 16:00:00,239,3104,525.5,1512.23
7/14/2020 16:00:00,239.73,3084,524.88,1520.86
7/15/2020 16:00:00,240.28,3008.87,523.26,1516.88
7/16/2020 16:00:00,240.93,2999.9,527.39,1514.92
7/17/2020 16:00:00,242.03,2961.97,492.99,1516.85
7/20/2020 16:00:00,245.42,3196.84,502.41,1563.84
7/21/2020 16:00:00,241.75,3138.29,490.1,1555.92
7/22/2020 16:00:00,239.87,3099.91,489.82,1564.85
7/23/2020 16:00:00,232.6,2986.55,477.58,1516.75
7/24/2020 16:00:00,230.71,3008.91,480.45,1508.21
7/27/2020 16:00:00,233.5,3055.21,495.65,1529.43
7/28/2020 16:00:00,230.12,3000.33,488.51,1503.65
7/29/2020 16:00:00,233.29,3033.53,484.48,1523.51
7/30/2020 16:00:00,234.5,3051.88,485.8,1538.37
7/31/2020 16:00:00,253.67,3164.68,488.88,1487.95
8/3/2020 16:00:00,251.96,3111.89,498.62,1482.76
8/4/2020 16:00:00,249.83,3138.83,509.64,1473.3
8/5/2020 16:00:00,249.12,3205.03,502.11,1479.09
8/6/2020 16:00:00,265.28,3225,509.08,1504.95
8/7/2020 16:00:00,268.44,3167.46,494.73,1498.37
8/10/2020 16:00:00,263,3148.16,483.38,1496.82
8/11/2020 16:00:00,256.13,3080.67,466.93,1480.54
8/12/2020 16:00:00,259.89,3162.24,475.47,1507.24
8/13/2020 16:00:00,261.3,3161.02,481.33,1516.65
8/14/2020 16:00:00,261.24,3148.02,482.68,1504.63
8/17/2020 16:00:00,261.16,3182.41,482.35,1516.24
8/18/2020 16:00:00,262.34,3312.49,491.87,1555.78
8/19/2020 16:00:00,262.59,3260.48,484.53,1544.61
8/20/2020 16:00:00,269.01,3297.37,497.9,1576.25
8/21/2020 16:00:00,267.01,3284.72,492.31,1575.57
8/24/2020 16:00:00,271.39,3307.46,488.81,1585.15
8/25/2020 16:00:00,280.82,3346.49,490.58,1605.85
8/26/2020 16:00:00,303.91,3441.85,547.53,1644.13
8/27/2020 16:00:00,293.22,3400,526.27,1628.52
8/28/2020 16:00:00,293.66,3401.8,523.89,1639.43
8/31/2020 16:00:00,293.2,3450.96,529.56,1629.53
9/1/2020 16:00:00,295.44,3499.12,556.55,1655.08
9/2/2020 16:00:00,302.5,3531.45,552.84,1717.39
9/3/2020 16:00:00,291.12,3368,525.75,1629.51
9/4/2020 16:00:00,282.73,3294.62,516.05,1581.21
9/8/2020 16:00:00,271.16,3149.84,507.02,1523.6
9/9/2020 16:00:00,273.72,3268.61,500.19,1547.23
9/10/2020 16:00:00,268.09,3175.11,480.67,1526.05
9/11/2020 16:00:00,266.61,3116.22,482.03,1515.76
9/14/2020 16:00:00,266.15,3102.97,476.26,1508.83
9/15/2020 16:00:00,272.42,3156.13,495.99,1535.12
9/16/2020 16:00:00,263.52,3078.1,483.86,1512.09
9/17/2020 16:00:00,254.82,3008.73,470.2,1487.04
9/18/2020 16:00:00,252.53,2954.91,469.96,1451.09
9/21/2020 16:00:00,248.15,2960.47,487.35,1430.14
9/22/2020 16:00:00,254.75,3128.99,491.17,1459.82
9/23/2020 16:00:00,249.02,2999.86,470.61,1409.39
9/24/2020 16:00:00,249.53,3019.79,473.08,1422.86
9/25/2020 16:00:00,254.82,3095.13,482.88,1439.06
9/28/2020 16:00:00,256.82,3174.05,490.65,1458.66
9/29/2020 16:00:00,261.79,3144.88,493.48,1466.02
9/30/2020 16:00:00,261.9,3148.73,500.03,1465.6
